City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Cockburn Town,TC,21.46,-71.14,82.09,78,2,20.47,clear sky
129,Kieta,PG,-6.22,155.63,83.55,71,57,4.9,light rain
130,Butaritari,KI,3.07,172.79,82.54,77,81,14.97,broken clouds
131,Paoua,CF,7.24,16.44,67.12,98,100,2.95,light rain
132,Sioux Lookout,CA,50.1,-91.92,71.67,88,100,5.75,thunderstorm with heavy rain
133,Tiznit,MA,29.58,-9.5,83.75,31,52,1.23,broken clouds
134,Agirish,RU,61.92,63.02,67.84,51,100,7.07,overcast clouds
135,Ottawa,CA,45.41,-75.7,75.72,85,98,6.29,overcast clouds
136,Iracoubo,GF,5.48,-53.2,76.6,86,28,8.75,scattered clouds
137,Victoria,HK,22.29,114.16,91.45,75,100,11.99,overcast clouds
138,Georgetown,MY,5.41,100.34,86.95,81,20,5.99,few clouds
139,Lompoc,US,34.64,-120.46,80.74,89,100,6.91,mist
140,Kirakira,SB,-10.45,161.92,84.47,70,17,6.55,few clouds
141,Husavik,IS,66.04,-17.34,46.0,96,100,7.61,overcast clouds
142,Tromso,NO,69.65,18.96,50.02,81,5,5.75,clear sky
143,Nueva Helvecia,UY,-34.3,-57.23,46.6,92,0,8.55,clear sky
144,Estrela,BR,-28.06,-50.94,51.6,98,19,3.4,few clouds
145,Qaanaaq,GL,77.48,-69.36,40.3,76,97,1.79,overcast clouds
146,Cooma,AU,-36.23,149.13,49.71,48,7,2.55,clear sky
147,Severo-Kurilsk,RU,50.68,156.12,51.35,98,100,18.77,moderate rain
148,Jining,CN,35.41,116.58,72.57,93,100,4.63,overcast clouds
149,Las Colinas,PA,8.55,-80.08,77.76,59,100,5.01,overcast clouds
150,Dingle,PH,11.0,122.67,86.63,71,25,3.47,scattered clouds
151,Bengkulu,ID,-3.8,102.27,83.01,70,97,3.47,light rain
152,Yerbogachen,RU,61.28,108.01,72.84,52,80,6.2,broken clouds
153,Saskylakh,RU,71.92,114.08,45.37,58,100,15.41,overcast clouds
154,Axim,GH,4.87,-2.24,73.06,75,40,6.73,scattered clouds
155,Mount Gambier,AU,-37.83,140.77,53.24,50,0,2.68,clear sky
156,Pizarro,CO,4.95,-77.37,77.61,90,100,5.19,moderate rain
157,Turayf,SA,31.67,38.66,79.05,38,0,9.22,clear sky
158,New Norfolk,AU,-42.78,147.06,49.91,53,4,1.25,clear sky
159,Ludinghausen,DE,51.77,7.47,80.13,46,1,7.18,clear sky
160,Pedernales,DO,18.04,-71.74,80.83,69,3,7.05,clear sky
161,Ginir,ET,7.13,40.7,54.68,84,31,10.56,scattered clouds
162,San Francisco Del Mar,MX,16.23,-94.65,83.03,81,100,5.77,overcast clouds
163,Longyearbyen,SJ,78.22,15.64,48.04,87,75,10.36,broken clouds
164,Dryden,CA,49.78,-92.75,64.69,94,100,6.91,moderate rain
165,Yinchuan,CN,38.47,106.27,80.19,33,0,3.56,clear sky
166,Nyurba,RU,63.28,118.33,62.92,60,96,10.67,overcast clouds
167,Lasa,IT,46.62,10.7,70.68,90,70,1.61,broken clouds
168,Port Hedland,AU,-20.32,118.57,80.65,22,0,16.11,clear sky
169,Isangel,VU,-19.55,169.27,84.31,70,40,6.91,scattered clouds
170,Nalut,LY,30.33,10.85,76.33,29,0,11.14,clear sky
171,Tuatapere,NZ,-46.13,167.68,44.74,79,96,2.75,overcast clouds
172,Mugur-Aksy,RU,50.35,90.5,50.88,53,45,3.11,scattered clouds
173,Chapais,CA,49.78,-74.85,53.92,80,20,5.32,few clouds
174,Henties Bay,NA,-22.12,14.28,54.27,93,13,9.98,few clouds
175,Baruun-Urt,MN,46.68,113.28,82.9,27,58,6.85,broken clouds
176,Tura,IN,25.52,90.22,74.91,98,100,5.99,moderate rain
177,Carnarvon,AU,-24.87,113.63,73.29,40,78,12.39,broken clouds
178,Soyo,AO,-6.13,12.37,69.82,91,45,5.12,scattered clouds
